index,true_category,tfidf_pred,linguistic_pred,bert_pred,tfidf_correct,linguistic_correct,bert_correct,all_three_agree,all_correct,all_wrong,text_length,text_preview,hybrid_type
1,Analytical,Analytical,News,Analytical,True,False,True,False,False,False,4073,labour is under no illusions about how difficult thursdays local elections will be for the government nigel farages reform is on course to take hundreds of council seats and is ahead in the race for t...,disagree_mixed
3,Analytical,Editorial,News,Analytical,False,False,True,False,False,False,3058,marks spencer was enjoying a strong start to 2025 thanks to a fashion revival and the warm spring weather that has now been seriously undermined as the retailer scrambles to deal with disruption cause...,disagree_mixed
6,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,4258,labors campaign spokesperson frontbencher jason clare claimed on monday that csiro had put a 600bn price tag on the coalitions plans to build taxpayerfunded nuclear reactors at seven sites have a look...,disagree_mixed
7,Analytical,Feature,Analytical,Feature,False,True,False,False,False,False,8322,liverpool players were looking for signs last summer as to how their new boss would succeed a club legend and turn his rich inheritance into premier league champions arne slot made sure they were unmi...,disagree_mixed
8,Analytical,Feature,Analytical,Analytical,False,True,True,False,False,False,7371,football is often compared to theatre sometimes it just is theatre with 63 minutes gone at anfield and liverpool already 31 up mohamed salah took the ball on the right in an empty square of deep green...,disagree_mixed
9,Analytical,Analytical,Review,Analytical,True,False,True,False,False,False,5073,news just in pep guardiola still has a few tactical tricks up his sleeve the scary thought for the rest of the premier league must be that guardiola who looked and sounded like a man ready to pack it ...,disagree_mixed
12,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,7426,donald trump s battle with a us media he considers an enemy of the people has been a signature fight of his second term in office sparking warnings of an erosion of press freedoms in the us and fears ...,disagree_mixed
13,Analytical,News,Feature,Feature,False,False,False,False,False,True,9575,this is the chainsaw for bureaucracy screamed elon musk wielding the power tool before a cheering crowd at a rightwing political conference the tech titan promised to slice and dice the us federal gov...,all_wrong
16,Analytical,Feature,Analytical,Analytical,False,True,True,False,False,False,4640,which is the competition that exists in a state of permanent crisis again as the premier league drifts to a conclusion that has felt inevitable for several months the fa cup has started spewing out cl...,disagree_mixed
17,Analytical,Analytical,Analytical,Feature,True,True,False,False,False,False,4026,its all about the bass well at least the baseline with all political parties likely to win in some places it can be hard to judge what a good night looks like for any party when it comes to local elec...,disagree_mixed
